id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
51411,25705,51410,5224,977,4920289606,1000,10,1,34,0,0
51412,25706,51413,5225,177,23033797,1000,1,1000,40,0,2
51413,25706,51412,177,5225,9976966203,1000,100,1,144,0,2
51414,25707,51415,2010,985,49092283,30643,1,1000,34,0,0
51415,25707,51414,985,2010,950907717,1000,1,0,144,0,1
51416,25708,51417,2010,4335,40627706,31080,1,1,34,0,0
51417,25708,51416,4335,2010,959372294,1000,1,1000,40,0,0
51418,25709,51419,1654,2770,73325623,1000,1,1000,40,0,0
51419,25709,51418,2770,1654,3926674377,1000,1,1000,40,0,0
51420,25710,51421,2661,2818,22005646,1000,1,1000,40,0,0
51421,25710,51420,2818,2661,205994354,1000,1,1000,40,0,0
51422,25711,51423,513,5226,31956660,10000,5000,1000,40,0,0
51423,25711,51422,5226,513,568043340,1000,1,1000,40,0,0
51424,25712,51425,358,4388,367413841,1,1,1000,144,0,0
51425,25712,51424,4388,358,15632586159,2000,1472,1000,40,0,0
51426,25713,51427,353,4414,847595180,1,1,1000,144,0,0
51427,25713,51426,4414,353,15152404820,2000,336,1000,40,0,0
51428,25714,51429,4388,332,533917839,2000,1131,1000,40,0,0
51429,25714,51428,332,4388,15466082161,1,1,1000,144,0,0
51430,25715,51431,4414,1475,770919802,2000,1517,1000,40,0,0
51431,25715,51430,1475,4414,15229080198,1,1,1000,144,0,0
51432,25716,51433,335,4209,376223808,1000,23,1000,40,0,0
51433,25716,51432,4209,335,3923776192,1,91,1000,40,0,0
51434,25717,51435,3488,5054,20301149,1000,1,1000,40,0,0
51435,25717,51434,5054,3488,749698851,499,1,1000,40,0,0
51436,25718,51437,4667,714,33717261,1000,1,1000,40,0,0
51437,25718,51436,714,4667,633281739,1000,1,1000,40,0,0
51438,25719,51439,4896,2761,14772467,1000,1000,1000,40,0,0
51439,25719,51438,2761,4896,930946533,1000,1,1,40,0,0
51440,25720,51441,4598,360,154592801,1000,10,1,34,0,0
51441,25720,51440,360,4598,1845407199,1000,1,1000,40,0,0
51442,25721,51443,3622,3907,320761013,100000,1000,1000,40,0,0
51443,25721,51442,3907,3622,3679238987,431,70,1000,42,0,0
51444,25722,51445,2,5065,23282852,0,1000,1000,18,0,0
51445,25722,51444,5065,2,278485148,2100,21,1000,40,0,1
51446,25723,51447,5117,2,1350222,3000,250,1000,40,0,0
51447,25723,51446,2,5117,69986778,0,1000,1000,18,0,0
51448,25724,51449,468,5119,17630204,1000,1,1000,40,0,3
51449,25724,51448,5119,468,232369796,1000,1,1000,40,0,0
51450,25725,51451,5227,227,3416898,1000,1,1000,40,0,0
51451,25725,51450,227,5227,46583102,0,0,1000,29,0,0
51452,25726,51453,2,5076,3538458,0,1000,1000,18,0,0
51453,25726,51452,5076,2,67798542,1000,10,1,34,0,0
51454,25727,51455,5071,2,1119900,10000,5,1000,40,0,3
51455,25727,51454,2,5071,70217100,0,1000,1000,18,0,1
51456,25728,51457,2,5040,772875,0,0,1000,18,0,2
51457,25728,51456,5040,2,70564125,1000,1,1000,40,0,2
51458,25729,51459,2,5057,6917759,0,0,1000,18,0,1
51459,25729,51458,5057,2,64419241,1000,1,1000,40,0,1
51460,25730,51461,5050,2,4880972,1000,1,1000,40,0,1
51461,25730,51460,2,5050,66456028,0,0,1000,18,0,1
51462,25731,51463,2,5228,1734479,0,0,1000,18,0,2
51463,25731,51462,5228,2,69602521,1000,10,1,34,0,1
51464,25732,51465,1618,2,9301989,1000,1,1000,40,0,3
51465,25732,51464,2,1618,326732011,0,1000,1000,18,0,1
51466,25733,51467,4414,5161,95947286,2000,1524,1000,40,0,0
51467,25733,51466,5161,4414,2404052714,1000,1,1000,40,0,0
51468,25734,51469,4346,3115,720324842,2000,29,1000,40,0,0
51469,25734,51468,3115,4346,15279675158,1000,1,1000,40,0,0
51470,25735,51471,4414,700,191447525,2000,250,1000,40,0,0
51471,25735,51470,700,4414,2308552475,1000,1,1000,40,0,0
51472,25736,51473,4388,3115,760237513,2000,22,1000,40,0,0
51473,25736,51472,3115,4388,15239762487,1000,1,1000,40,0,0
51474,25737,51475,5229,4048,107456683,1000,1,1000,40,0,1
51475,25737,51474,4048,5229,992543317,1000,1,1000,40,0,1
51476,25738,51477,2,5079,1260819,0,0,1000,18,0,0
51477,25738,51476,5079,2,70076181,1000,1,1000,40,0,3
51478,25739,51479,2,5083,4344562,0,0,1000,18,0,2
51479,25739,51478,5083,2,66992438,1000,1,1000,40,0,1
51480,25740,51481,2,5080,6536578,0,0,1000,18,0,2
51481,25740,51480,5080,2,64800422,1000,1,1000,40,0,0
51482,25741,51483,2,22,7460421,0,0,1000,18,0,11
51483,25741,51482,22,2,334783579,1000,1,1000,40,0,1
51484,25742,51485,2,5085,6640691,0,0,1000,18,0,2
51485,25742,51484,5085,2,64696309,1000,1,1000,40,0,1
51486,25743,51487,2,5082,6717803,0,1000,1000,18,0,0
51487,25743,51486,5082,2,64619197,1000,1,1000,40,0,0
51488,25744,51489,5091,2,113265,1000,1,1000,40,0,3
51489,25744,51488,2,5091,71223735,0,0,1000,18,0,0
51490,25745,51491,5230,2,5672584,1000,1,1000,40,0,3
51491,25745,51490,2,5230,65664416,0,0,1000,18,0,3
51492,25746,51493,87,4533,101909349,1,48,1000,24,0,0
51493,25746,51492,4533,87,2877670651,0,0,1000,40,0,0
51494,25747,51495,4862,3074,4485634,1000,1,1000,40,0,0
51495,25747,51494,3074,4862,211854366,10,100,1000,420,0,0
51496,25748,51497,5094,2,5473748,1000,1,1000,40,0,0
51497,25748,51496,2,5094,65863252,0,1000,1000,18,0,2
51498,25749,51499,4238,2,15581832,1,1,1,40,0,2
51499,25749,51498,2,4238,344581168,0,1000,1000,18,0,2
51500,25750,51501,2,5099,3359285,0,0,1000,18,0,3
51501,25750,51500,5099,2,67977715,1000,1,1000,40,0,2
51502,25751,51503,5120,2,7044426,1000,1,1000,40,0,0
51503,25751,51502,2,5120,64292574,0,1000,1000,18,0,0
51504,25752,51505,4333,2,2768307,1000,1,1000,40,0,0
51505,25752,51504,2,4333,68568693,0,0,1000,18,0,3
51506,25753,51507,2,5118,2589814,0,1000,1000,18,0,0
51507,25753,51506,5118,2,68747186,1000,1,1000,40,0,0
